variable,value,label,meta
P64C,9,Información sobre las actividades de las autoridades,NA
P64C,11,Normativas que rigen las funciones de la entidad,NA
P64C,12,Otro,NA
P64C,99,NS/NR,NA
P64D,NA,"64. ¿Según su opinión, qué información de las instituciones públicas debería estar disponible en Internet en cuarto lugar?",varlab
P64D,1,Datos estadísticos,NA
P64D,2,Informaci?n general sobre la institución y su organización interna,NA
P64D,3,Actividades y proyectos de la institución,NA
P64D,4,"Libros, memorias, boletines y otras publicaciones",NA
P64D,5,Requerimiento de personal,NA
P64D,6,Compras y contrataciones,NA
P64D,7,Tr?mites y requisitos,NA
P64D,8,Auditoría interna,NA
P64D,9,Información sobre las actividades de las autoridades,NA
P64D,11,Normativas que rigen las funciones de la entidad,NA
P64D,12,Otro,NA
P64D,99,NS/NR,NA
P64E,NA,64. Otro,varlab
P65,NA,65. ¿Qué trámite con entidades públicas le gustaría poder realizar a través de Internet?,varlab
P66,NA,66. ¿Sigue a alguna institución pública a través de sus cuentas de Facebook o Twitter?,varlab
P66,1,Sí,NA
P66,2,No,NA
P67A1,NA,67. ¿A qué institución sigue?,varlab
P67A2,NA,"67. Del 1 al 5, donde 1 es pésimo y 5 es excelente",varlab
P67B1,NA,67. ¿A qué institución sigue?,varlab
P67B2,NA,"67. Del 1 al 5, donde 1 es pésimo y 5 es excelente",varlab
P67C1,NA,67. ¿A qué institución sigue?,varlab
P67C2,NA,"67. Del 1 al 5, donde 1 es pésimo y 5 es excelente",varlab
P68,NA,68. ¿Utiliza o utiliza Internet en?,varlab
P68,1,El Colegio,NA
P68,2,La Universidad,NA
P68,3,No usa/no usó,NA
P69,NA,"69. ¿Ha realizado algún curso, diplomado o maestría por Internet?",varlab
P69,1,Si,NA
P69,2,No,NA
P70,NA,"70. Del 1 al 5, donde 1 es pésimo y 5 es excelente ¿qué puntaje le daría a la experiencia de aprendizaje del curso, diplomado o maestría por Internet?",varlab
P71,NA,"71. ¿Usted preferiría realizar un curso, diplomado o maestráa por Internet, o de manera presencial?",varlab
P71,1,En línea,NA
P71,2,Presencial,NA
P72A,NA,72. ¿Por qué?,varlab
P72A,1,Es más cómodo,NA
P72A,2,Permite profundizar en la materia,NA
P72A,3,Se acomoda a mis horarios,NA
P72A,4,Tiene mayor validez,NA
P72A,5,Me ahorra tiempo,NA
P72A,6,Se aprende mejor,NA
P72A,7,Otro,NA
P72A,8,NS/NR,NA
P72B,NA,72. ¿Por qué?,varlab
P72B,1,Es más cómodo,NA
P72B,2,Permite profundizar en la materia,NA
P72B,3,Se acomoda a mis horarios,NA
P72B,4,Tiene mayor validez,NA
P72B,5,Me ahorra tiempo,NA
P72B,6,Se aprende mejor,NA
P72B,7,Otro,NA
P72B,8,NS/NR,NA
P72C,NA,72. ¿Por qué?,varlab
P72C,1,Es más cómodo,NA
P72C,2,Permite profundizar en la materia,NA
P72C,3,Se acomoda a mis horarios,NA
P72C,4,Tiene mayor validez,NA
P72C,5,Me ahorra tiempo,NA
P72C,6,Se aprende mejor,NA
P72C,7,Otro,NA
P72C,8,NS/NR,NA
P72E,NA,72. ¿Por qué?,varlab
P72E,1,Es más cómodo,NA
P72E,2,Permite profundizar en la materia,NA
P72E,3,Se acomoda a mis horarios,NA
P72E,4,Tiene mayor validez,NA
P72E,5,Me ahorra tiempo,NA
P72E,6,Se aprende mejor,NA
P72E,7,Otro,NA
P72E,8,NS/NR,NA
P72F,NA,72. ¿Por qué?,varlab
P72F,1,Es más cómodo,NA
P72F,2,Permite profundizar en la materia,NA
P72F,3,Se acomoda a mis horarios,NA
P72F,4,Tiene mayor validez,NA
P72F,5,Me ahorra tiempo,NA
P72F,6,Se aprende mejor,NA
P72F,7,Otro,NA
P72F,8,NS/NR,NA
P72D,NA,72. Otro,varlab
P73,NA,73. ¿Trabaja o ha trabajado alguna vez?,varlab
P73,1,Si,NA
P73,2,No,NA
P74A,NA,"74. ¿Usted diría que utiliza/utilizó el Internet para su actividad económica o laboral, mucho, más o menos,  muy poco?",varlab
P74A,1,Mucho,NA
P74A,2,Más o menos,NA
P74A,3,Muy poco,NA
P74A,4,No usa,NA
P74A,5,Otro,NA
P74B,NA,74. Otro,varlab
P75,NA,75. ¿Realiza/realizó algún trabajo o negocio gracias a contactos...?,varlab
P75,1,Si,NA
P75,2,No,NA
P76,NA,76. ¿Su actividad laboral o negocio está vinculado a las tecnologías...,varlab
P76,1,Si,NA
P76,2,No,NA
P77,NA,77. ¿Ha realizado alguna compra a través de Internet?,varlab
P77,1,Si,NA
P77,2,No,NA
P78A,NA,78. ¿Por qué no compré por Internet?,varlab
P78A,1,No poseo una tarjeta de débito o crédito,NA
P78A,2,No confío en las ofertas en Internet,NA
P78A,3,El costo del transporte y/o impuestos son altos,NA
P78A,4,No existen suficientes ofertas en/para Bolivia,NA
P78A,5,Pago elevado de comisiones,NA
P78A,6,Otro,NA
P78A,9,NS/NR,NA
P78B,NA,78. ¿Por qué no compré por Internet?,varlab
P78B,1,No poseo una tarjeta de débito o crédito,NA
P78B,2,No confío en las ofertas en Internet,NA
P78B,3,El costo del transporte y/o impuestos son altos,NA
P78B,4,No existen suficientes ofertas en/para Bolivia,NA
P78B,5,Pago elevado de comisiones,NA
P78B,6,Otro,NA
P78B,9,NS/NR,NA
P78C,NA,78. ¿Por qué no compré por Internet?,varlab
P78C,1,No poseo una tarjeta de débito o crédito,NA
P78C,2,No confío en las ofertas en Internet,NA
P78C,3,El costo del transporte y/o impuestos son altos,NA
P78C,4,No existen suficientes ofertas en/para Bolivia,NA
P78C,5,Pago elevado de comisiones,NA
P78C,6,Otro,NA
P78C,9,NS/NR,NA
P78D,NA,78. Otro,varlab
P79,NA,79. ¿Generalmente realiza compras a través de Internet a empresas nacionales o empresas internacionales?,varlab
P79,1,Nacionales,NA
P79,2,Internacionales,NA
P79,3,Ambas,NA
P80A,NA,80. ¿A través de qué sitios web o plataformas generalmente realiza sus compras en Internet?,varlab
P80A,1,Facebook,NA
P80A,2,Whatsapp,NA
P80A,3,Sitios web,NA
P80A,4,Plataforma de compra/venta (Amazon/ebay),NA
P80A,5,Otro,NA
P80A,9,NS/NR,NA
P80B,NA,80. ¿A través de qué sitios web o plataformas generalmente realiza sus compras en Internet?,varlab
P80B,1,Facebook,NA
P80B,2,Whatsapp,NA
P80B,3,Sitios web,NA
P80B,4,Plataforma de compra/venta (Amazon/ebay),NA
P80B,5,Otro,NA
P80B,9,NS/NR,NA
P80C,NA,80. ¿A través de qué sitios web o plataformas generalmente realiza sus compras en Internet?,varlab
P80C,1,Facebook,NA
P80C,2,Whatsapp,NA
P80C,3,Sitios web,NA
P80C,4,Plataforma de compra/venta (Amazon/ebay),NA
P80C,5,Otro,NA
P80C,9,NS/NR,NA
P80D,NA,80. Otro,varlab
P81A,NA,81. ¿Generalmente qué forma de pago usa para comprar en Internet?,varlab
P81A,1,Tarjeta de crédito propia,NA
P81A,2,Tarjeta de crédito de amigo/familiar,NA
P81A,3,Tarjeta de débito,NA
P81A,4,Paypal,NA
P81A,5,Billetera electrónica,NA
P81A,6,Dep?sito/giro,NA
P81A,7,Pago en efectivo,NA
P81A,8,Otro,NA
P81B,NA,81. ¿Generalmente qué forma de pago usa para comprar en Internet?,varlab
P81B,1,Tarjeta de crédito propia,NA
P81B,2,Tarjeta de crédito de amigo/familiar,NA
P81B,3,Tarjeta de débito,NA
P81B,4,Paypal,NA
P81B,5,Billetera electrónica,NA
P81B,6,Dep?sito/giro,NA
P81B,7,Pago en efectivo,NA
P81B,8,Otro,NA
P81C,NA,81. ¿Generalmente qué forma de pago usa para comprar en Internet?,varlab
P81C,1,Tarjeta de crédito propia,NA
P81C,2,Tarjeta de crédito de amigo/familiar,NA
P81C,3,Tarjeta de débito,NA
P81C,4,Paypal,NA
P81C,5,Billetera electrónica,NA
P81C,6,Dep?sito/giro,NA
P81C,7,Pago en efectivo,NA
P81C,8,Otro,NA
P81D,NA,81. Otro,varlab
P82A,NA,82. Sin contar el pago por servicios básicos ¿Qué productos o servicios compró por Internet?,varlab
P82A,1,Equipos electrónicos,NA
P82A,2,Libros físicos/electrónicos,NA
P82A,3,"Viajes (pasajes, hoteles)",NA
P82A,4,Entradas a eventos,NA
P82A,5,Cursos,NA
P82A,6,Ropa y accesorios,NA
P82A,7,Art?culos para el hogar,NA
P82A,8,Art?culos para el cuidado personal,NA
P82A,9,Software,NA
P82A,10,Juegos,NA
P82A,11,M?sica o películas,NA
P82A,12,"Servicios de streaming (netflix, spotify)",NA
P82A,13,Pago de anuncios publicitarios,NA
P82A,14,Servicios de hosting y dominio,NA
P82A,15,Otro,NA
P82B,NA,82. Sin contar el pago por servicios básicos ¿Qué productos o servicios compró por Internet?,varlab
P82B,1,Equipos electrónicos,NA
P82B,2,Libros físicos/electrónicos,NA
P82B,3,"Viajes (pasajes, hoteles)",NA
P82B,4,Entradas a eventos,NA
P82B,5,Cursos,NA
P82B,6,Ropa y accesorios,NA
P82B,7,Art?culos para el hogar,NA
P82B,8,Art?culos para el cuidado personal,NA
P82B,9,Software,NA
P82B,10,Juegos,NA
P82B,11,M?sica o películas,NA
P82B,12,"Servicios de streaming (netflix, spotify)",NA
P82B,13,Pago de anuncios publicitarios,NA
P82B,14,Servicios de hosting y dominio,NA
P82B,15,Otro,NA
P82C,NA,82. Sin contar el pago por servicios básicos ¿Qué productos o servicios compró por Internet?,varlab
P82C,1,Equipos electrónicos,NA
P82C,2,Libros físicos/electrónicos,NA
P82C,3,"Viajes (pasajes, hoteles)",NA
P82C,4,Entradas a eventos,NA
P82C,5,Cursos,NA
P82C,6,Ropa y accesorios,NA
P82C,7,Art?culos para el hogar,NA
P82C,8,Art?culos para el cuidado personal,NA
P82C,9,Software,NA
P82C,10,Juegos,NA
P82C,11,M?sica o películas,NA
P82C,12,"Servicios de streaming (netflix, spotify)",NA
P82C,13,Pago de anuncios publicitarios,NA
P82C,14,Servicios de hosting y dominio,NA
P82C,15,Otro,NA
P82D,NA,82. Otros,varlab
P83A,NA,83. ¿Generalmente dónde recibe los productos que compra a través de Internet?,varlab
P83A,1,Casa/oficina,NA
P83A,2,Punto de encuentro,NA
P83A,3,Establecimiento/tienda,NA
P83A,4,Oficina de correos,NA
P83A,5,Otro,NA
P83B,NA,83. ¿Generalmente dónde recibe los productos que compra a través de Internet?,varlab
P83B,1,Casa/oficina,NA
P83B,2,Punto de encuentro,NA
P83B,3,Establecimiento/tienda,NA
P83B,4,Oficina de correos,NA
P83B,5,Otro,NA
P83C,NA,83. ¿Generalmente dónde recibe los productos que compra a través de Internet?,varlab
P83C,1,Casa/oficina,NA
P83C,2,Punto de encuentro,NA
P83C,3,Establecimiento/tienda,NA
P83C,4,Oficina de correos,NA
P83C,5,Otro,NA
P83D,NA,83. Otros,varlab
P84,NA,84. ¿Cuánto gastó aproximadamente en compras por Internet en los últimos tres meses?,varlab
P84,99,Ns/Nr,NA
P85A,NA,85. ¿Cuáles fueron sus principales motivaciones para comprar por Internet?,varlab
P85A,1,Falta de tiempo,NA
P85A,2,No existe el producto localmente,NA
P85A,3,Mejor precio,NA
P85A,4,Guardar anonimato,NA
P85A,5,Prefiero hacer mis compras en línea,NA
P85A,6,Comodidad,NA
P85A,7,Otro,NA
P85B,NA,85. ¿Cuáles fueron sus principales motivaciones para comprar por Internet?,varlab
P85B,1,Falta de tiempo,NA
P85B,2,No existe el producto localmente,NA
P85B,3,Mejor precio,NA
P85B,4,Guardar anonimato,NA
P85B,5,Prefiero hacer mis compras en línea,NA
P85B,6,Comodidad,NA
P85B,7,Otro,NA
P85C,NA,85. ¿Cuáles fueron sus principales motivaciones para comprar por Internet?,varlab
P85C,1,Falta de tiempo,NA
P85C,2,No existe el producto localmente,NA
P85C,3,Mejor precio,NA
P85C,4,Guardar anonimato,NA
P85C,5,Prefiero hacer mis compras en línea,NA
P85C,6,Comodidad,NA
P85C,7,Otro,NA
P85D,NA,85. Otro,varlab
P86A,NA,86. ¿Alguna vez ha vendido algo ofertándolo por Internet?,varlab
P86A,1,Si,NA
P86A,2,No,NA
P87,NA,87. ¿Las ventas se realizaron en el mercado local o en el mercado internacional?,varlab
P87,1,Local,NA
P87,2,Internacional,NA
P87,3,Ambas,NA
P88A,NA,88. ¿Qué plataforma o aplicación utiliza para ofertar productos o servicios en Internet?,varlab
P88A,1,Facebook,NA
P88A,2,Whatsapp,NA
P88A,3,Sitios web,NA
P88A,4,Plataforma de compra/venta (ebay),NA
P88A,5,Otro,NA
P88B,NA,88. ¿Qué plataforma o aplicación utiliza para ofertar productos o servicios en Internet?,varlab
P88B,1,Facebook,NA
P88B,2,Whatsapp,NA
P88B,3,Sitios web,NA
P88B,4,Plataforma de compra/venta (ebay),NA
P88B,5,Otro,NA
P88C,NA,88. ¿Qué plataforma o aplicación utiliza para ofertar productos o servicios en Internet?,varlab
P88C,1,Facebook,NA
P88C,2,Whatsapp,NA
P88C,3,Sitios web,NA
P88C,4,Plataforma de compra/venta (ebay),NA
P88C,5,Otro,NA
P88D,NA,88. Otro,varlab
P89A,NA,89. ¿Cuál es la forma de cobro?,varlab
P89A,1,Tarjeta de crédito,NA
P89A,2,Tarjeta de débito,NA
P89A,3,Paypal,NA
P89A,4,Billetera electrónica,NA
P89A,5,Pago en efectivo,NA
P89A,6,"Depósito, giro",NA
P89A,7,Otro,NA
P89B,NA,89. ¿Cuál es la forma de cobro?,varlab
P89B,1,Tarjeta de crédito,NA
P89B,2,Tarjeta de débito,NA
P89B,3,Paypal,NA
P89B,4,Billetera electrónica,NA
P89B,5,Pago en efectivo,NA
P89B,6,"Depósito, giro",NA
P89B,7,Otro,NA
P89C,NA,89. ¿Cuál es la forma de cobro?,varlab
P89C,1,Tarjeta de crédito,NA
P89C,2,Tarjeta de débito,NA
P89C,3,Paypal,NA
P89C,4,Billetera electrónica,NA
P89C,5,Pago en efectivo,NA
P89C,6,"Depósito, giro",NA
P89C,7,Otro,NA
P89D,NA,89. Otro,varlab
P90A,NA,90. ¿Qué tipo de producto o servicio oferta/ofertó por Internet?,varlab
P90A,1,Equipos electrónicos,NA
P90A,2,Libros,NA
P90A,3,"Viajes (pasajes, hoteles)",NA
P90A,5,Cursos,NA
P90A,6,Ropa y accesorios,NA
P90A,7,Art?culos para el hogar,NA
P90A,8,Art?culos para el cuidado personal,NA
P90A,9,Software,NA
P90A,10,Juegos,NA
P90A,11,M?sica/películas,NA
P90A,14,Servicios de hosting y dominio,NA
P90A,15,Otro,NA
P90B,NA,90. ¿Qué tipo de producto o servicio oferta/ofertó por Internet?,varlab
P90B,1,Equipos electrónicos,NA
P90B,2,Libros,NA
P90B,3,"Viajes (pasajes, hoteles)",NA
P90B,5,Cursos,NA
P90B,6,Ropa y accesorios,NA
P90B,7,Art?culos para el hogar,NA
P90B,8,Art?culos para el cuidado personal,NA
P90B,9,Software,NA
P90B,10,Juegos,NA
P90B,11,M?sica/películas,NA
P90B,14,Servicios de hosting y dominio,NA
P90B,15,Otro,NA
P90C,NA,90. ¿Qué tipo de producto o servicio oferta/ofertó por Internet?,varlab
P90C,1,Equipos electrónicos,NA
P90C,2,Libros,NA
P90C,3,"Viajes (pasajes, hoteles)",NA
P90C,5,Cursos,NA
P90C,6,Ropa y accesorios,NA
P90C,7,Art?culos para el hogar,NA
P90C,8,Art?culos para el cuidado personal,NA
P90C,9,Software,NA
P90C,10,Juegos,NA
P90C,11,M?sica/películas,NA
P90C,14,Servicios de hosting y dominio,NA
P90C,15,Otro,NA
P90D,NA,90. Otro,varlab
P91A,NA,91. ¿Cómo entregó o entrega el producto ofertado?,varlab
P91A,1,En un punto de encuentro,NA
P91A,2,En una tienda perteneciente al negocio,NA
P91A,3,Env?a por correo o courrier,NA
P91A,4,Entrega a domicilio,NA
P91A,5,Otro,NA
P91B,NA,91. ¿Cómo entregó o entrega el producto ofertado?,varlab
P91B,1,En un punto de encuentro,NA
P91B,2,En una tienda perteneciente al negocio,NA
P91B,3,Env?a por correo o courrier,NA
P91B,4,Entrega a domicilio,NA
P91B,5,Otro,NA
P91C,NA,91. ¿Cómo entregó o entrega el producto ofertado?,varlab
P91C,1,En un punto de encuentro,NA
P91C,2,En una tienda perteneciente al negocio,NA
P91C,3,Env?a por correo o courrier,NA
P91C,4,Entrega a domicilio,NA
P91C,5,Otro,NA
P91D,NA,91. Otro,varlab
P92,NA,92. ¿En promedio cuánto diría que es su valor en ventas por Internet mensualmente?,varlab
P92,9999,Ns/Nr,NA
P93A,NA,93. ¿Cuáles son sus principales motivaciones para vender por Internet?,varlab
P93A,1,Mayor alcance de compradores,NA
P93A,2,Facilidad de administración,NA
P93A,3,Mejores precios,NA
P93A,4,Rapidez,NA
P93A,5,Anonimato,NA
P93A,6,Otro,NA
P93B,NA,93. ¿Cuáles son sus principales motivaciones para vender por Internet?,varlab
P93B,1,Mayor alcance de compradores,NA
P93B,2,Facilidad de administración,NA
P93B,3,Mejores precios,NA
P93B,4,Rapidez,NA
P93B,5,Anonimato,NA
P93B,6,Otro,NA
P93C,NA,93. ¿Cuáles son sus principales motivaciones para vender por Internet?,varlab
P93C,1,Mayor alcance de compradores,NA
P93C,2,Facilidad de administración,NA
P93C,3,Mejores precios,NA
P93C,4,Rapidez,NA
P93C,5,Anonimato,NA
P93C,6,Otro,NA
P93D,NA,93. Otro,varlab
P94,NA,94. ¿Usted diría que su actividad laboral principal está directamente relacionada con la venta de productos en Internet?,varlab
P94,1,Si,NA
P94,2,No,NA
P95,NA,95. Consulta de movimientos y saldos de su cuenta en el banco,varlab
P95,1,Si,NA
P95,2,No,NA
P96,NA,96. Transferencia entre cuentas bancarias,varlab
P96,1,Si,NA
P96,2,No,NA
P97,NA,97. Pagos de servicios o productos a través de su cuenta bancaria,varlab
P97,1,Si,NA
P97,2,No,NA
P98A,NA,98. ¿Qué pagos realizó a través de Internet?,varlab
P98A,1,Servicios de telefonía o Internet,NA
P98A,2,"Luz, tv cable, agua",NA
P98A,3,Créditos bancarios,NA
P98A,4,Pasajes aéreos,NA
P98A,5,Entradas a espectáculos,NA
P98A,6,"Estudios, pensión escolar",NA
P98A,7,Impuestos,NA
P98A,8,Otros,NA
P98B,NA,98. ¿Qué pagos realizó a través de Internet?,varlab
P98B,1,Servicios de telefonía o Internet,NA
P98B,2,"Luz, tv cable, agua",NA
P98B,3,Créditos bancarios,NA
P98B,4,Pasajes aéreos,NA
P98B,5,Entradas a espectáculos,NA
P98B,6,"Estudios, pensión escolar",NA
P98B,7,Impuestos,NA
P98B,8,Otros,NA
P98C,NA,98. ¿Qué pagos realizó a través de Internet?,varlab
P98C,1,Servicios de telefonía o Internet,NA
P98C,2,"Luz, tv cable, agua",NA
P98C,3,Créditos bancarios,NA
P98C,4,Pasajes aéreos,NA
P98C,5,Entradas a espectáculos,NA
P98C,6,"Estudios, pensión escolar",NA
P98C,7,Impuestos,NA
P98C,8,Otros,NA
P98E,NA,98. ¿Qué pagos realizó a través de Internet?,varlab
P98E,1,Servicios de telefonía o Internet,NA
P98E,2,"Luz, tv cable, agua",NA
P98E,3,Créditos bancarios,NA
P98E,4,Pasajes aéreos,NA
P98E,5,Entradas a espectáculos,NA
P98E,6,"Estudios, pensión escolar",NA
P98E,7,Impuestos,NA
P98E,8,Otros,NA
P98D,NA,98. Otro,varlab
P99,NA,99. ¿Utiliza redes sociales en Internet?,varlab
P99,1,Si,NA
P99,2,No,NA
P100A,NA,100. ¿Qué redes sociales utiliza?,varlab
P100A,1,Facebook,NA
P100A,2,Twitter,NA
P100A,3,Whatsapp,NA
P100A,4,Telegram,NA
P100A,5,Instagram,NA
P100A,6,Youtube,NA
P100A,7,Skype,NA
P100A,8,Snapchat,NA
P100A,9,Line,NA
P100A,10,Otra,NA
P100B,NA,100. ¿Qué redes sociales utiliza?,varlab
P100B,1,Facebook,NA
P100B,2,Twitter,NA
P100B,3,Whatsapp,NA
P100B,4,Telegram,NA
P100B,5,Instagram,NA
P100B,6,Youtube,NA
P100B,7,Skype,NA
P100B,8,Snapchat,NA
P100B,9,Line,NA
P100B,10,Otra,NA
P100C,NA,100. ¿Qué redes sociales utiliza?,varlab
P100C,1,Facebook,NA
P100C,2,Twitter,NA
P100C,3,Whatsapp,NA
P100C,4,Telegram,NA
P100C,5,Instagram,NA
P100C,6,Youtube,NA
P100C,7,Skype,NA
P100C,8,Snapchat,NA
P100C,9,Line,NA
P100C,10,Otra,NA
P100D,NA,100. ¿Qué redes sociales utiliza?,varlab
P100D,1,Facebook,NA
P100D,2,Twitter,NA
P100D,3,Whatsapp,NA
P100D,4,Telegram,NA
P100D,5,Instagram,NA
P100D,6,Youtube,NA
P100D,7,Skype,NA
P100D,8,Snapchat,NA
P100D,9,Line,NA
P100D,10,Otra,NA
P100E,NA,100. ¿Qué redes sociales utiliza?,varlab
P100E,1,Facebook,NA
P100E,2,Twitter,NA
P100E,3,Whatsapp,NA
P100E,4,Telegram,NA
P100E,5,Instagram,NA
P100E,6,Youtube,NA
P100E,7,Skype,NA
P100E,8,Snapchat,NA
P100E,9,Line,NA
P100E,10,Otra,NA
P100G,NA,100. ¿Qué redes sociales utiliza?,varlab
P100G,1,Facebook,NA
P100G,2,Twitter,NA
P100G,3,Whatsapp,NA
P100G,4,Telegram,NA
P100G,5,Instagram,NA
P100G,6,Youtube,NA
P100G,7,Skype,NA
P100G,8,Snapchat,NA
P100G,9,Line,NA
P100G,10,Otra,NA
P100H,NA,100. ¿Qué redes sociales utiliza?,varlab
P100H,1,Facebook,NA
P100H,2,Twitter,NA
P100H,3,Whatsapp,NA
P100H,4,Telegram,NA
P100H,5,Instagram,NA
P100H,6,Youtube,NA
P100H,7,Skype,NA
P100H,8,Snapchat,NA
P100H,9,Line,NA
P100H,10,Otra,NA
P100I,NA,100. ¿Qué redes sociales utiliza?,varlab
P100I,1,Facebook,NA
P100I,2,Twitter,NA
P100I,3,Whatsapp,NA
P100I,4,Telegram,NA
P100I,5,Instagram,NA
P100I,6,Youtube,NA
P100I,7,Skype,NA
P100I,8,Snapchat,NA
P100I,9,Line,NA
P100I,10,Otra,NA
P100F,NA,100. Otro,varlab
P101A,NA,101. ¿Para qué usa las redes sociales en primer lugar?,varlab
P101A,1,Conectarse con amigos/familiares,NA
P101A,2,Conocer gente,NA
P101A,3,Informarse sobre temas políticos,NA
P101A,4,Informarse de otras noticias,NA
P101A,5,"Compartir contenidos (noticias, memes, links, mensajes)",NA
P101A,6,Participar en debates,NA
P101A,7,Ver videos/fotos,NA
P101A,8,Hacer negocios,NA
P101A,9,Apoyar alguna causa o demanda social,NA
P101A,10,Comprar o vender productos,NA
P101A,11,Seguir cuentas o páginas,NA
P101A,12,Otro,NA
P101B,NA,101. ¿Para qué usa las redes sociales en Segundo lugar?,varlab
P101B,1,Conectarse con amigos/familiares,NA
P101B,2,Conocer gente,NA
P101B,3,Informarse sobre temas políticos,NA
P101B,4,Informarse de otras noticias,NA
P101B,5,"Compartir contenidos (noticias, memes, links, mensajes)",NA
P101B,6,Participar en debates,NA
P101B,7,Ver videos/fotos,NA
P101B,8,Hacer negocios,NA
P101B,9,Apoyar alguna causa o demanda social,NA
P101B,10,Comprar o vender productos,NA
P101B,11,Seguir cuentas o páginas,NA
P101B,12,Otro,NA
P101C,NA,101. ¿Para qué usa las redes sociales en Tercer lugar lugar?,varlab
P101C,1,Conectarse con amigos/familiares,NA
P101C,2,Conocer gente,NA
P101C,3,Informarse sobre temas políticos,NA
P101C,4,Informarse de otras noticias,NA
P101C,5,"Compartir contenidos (noticias, memes, links, mensajes)",NA
P101C,6,Participar en debates,NA
P101C,7,Ver videos/fotos,NA
P101C,8,Hacer negocios,NA
P101C,9,Apoyar alguna causa o demanda social,NA
P101C,10,Comprar o vender productos,NA
P101C,11,Seguir cuentas o páginas,NA
P101C,12,Otro,NA
P101D,NA,101. ¿Para qué usa las redes sociales en Cuarto lugar lugar?,varlab
P101D,1,Conectarse con amigos/familiares,NA
P101D,2,Conocer gente,NA
P101D,3,Informarse sobre temas políticos,NA
P101D,4,Informarse de otras noticias,NA
P101D,5,"Compartir contenidos (noticias, memes, links, mensajes)",NA
P101D,6,Participar en debates,NA
P101D,7,Ver videos/fotos,NA
P101D,8,Hacer negocios,NA
P101D,9,Apoyar alguna causa o demanda social,NA
P101D,10,Comprar o vender productos,NA
P101D,11,Seguir cuentas o páginas,NA
P101D,12,Otro,NA
P101E,NA,101. Otro,varlab
P102,NA,"102. ¿En promedio, cuántos días a la semana utiliza redes sociales?",varlab
P103A,NA,"103. ¿En qué horarios utiliza las redes sociales, de lunes a viernes?",varlab
P103A,97,Las 24 horas,NA
P103A,98,Cualquier momento,NA
P103A,99,No se conecta,NA
P103B,NA,"103. ¿En qué horarios utiliza las redes sociales, de lunes a viernes?",varlab
P103C,NA,"103. ¿En qué horarios utiliza las redes sociales, de lunes a viernes?",varlab
P103D,NA,"103. ¿En qué horarios utiliza las redes sociales, de lunes a viernes?",varlab
P103E,NA,"103. ¿En qué horarios utiliza las redes sociales, de lunes a viernes?",varlab
P103F,NA,"103. ¿En qué horarios utiliza las redes sociales, de lunes a viernes?",varlab
P103G,NA,"103. ¿En qué horarios utiliza las redes sociales, de lunes a viernes?",varlab
P103H,NA,"103. ¿En qué horarios utiliza las redes sociales, de lunes a viernes?",varlab
P103I,NA,"103. ¿En qué horarios utiliza las redes sociales, de lunes a viernes?",varlab
P103J,NA,"103. ¿En qué horarios utiliza las redes sociales, de lunes a viernes?",varlab
P103K,NA,"103. ¿En qué horarios utiliza las redes sociales, de lunes a viernes?",varlab
P103L,NA,"103. ¿En qué horarios utiliza las redes sociales, de lunes a viernes?",varlab
P103M,NA,"103. ¿En qué horarios utiliza las redes sociales, de lunes a viernes?",varlab
P103N,NA,"103. ¿En qué horarios utiliza las redes sociales, de lunes a viernes?",varlab
P103O,NA,"103. ¿En qué horarios utiliza las redes sociales, de lunes a viernes?",varlab
P103P,NA,"103. ¿En qué horarios utiliza las redes sociales, de lunes a viernes?",varlab
P103Q,NA,"103. ¿En qué horarios utiliza las redes sociales, de lunes a viernes?",varlab
P104A,NA,"104. ¿Y los fines de semana, en qué horarios utiliza las redes sociales?",varlab
P104A,97,Las 24 horas,NA
P104A,98,Cualquier momento,NA
P104A,99,No se conecta,NA
P104B,NA,"104. ¿Y los fines de semana, en qué horarios utiliza las redes sociales?",varlab
P104C,NA,"104. ¿Y los fines de semana, en qué horarios utiliza las redes sociales?",varlab
P104D,NA,"104. ¿Y los fines de semana, en qué horarios utiliza las redes sociales?",varlab
P104E,NA,"104. ¿Y los fines de semana, en qué horarios utiliza las redes sociales?",varlab
P104F,NA,"104. ¿Y los fines de semana, en qué horarios utiliza las redes sociales?",varlab
P104G,NA,"104. ¿Y los fines de semana, en qué horarios utiliza las redes sociales?",varlab
P104H,NA,"104. ¿Y los fines de semana, en qué horarios utiliza las redes sociales?",varlab
P104I,NA,"104. ¿Y los fines de semana, en qué horarios utiliza las redes sociales?",varlab
P104J,NA,"104. ¿Y los fines de semana, en qué horarios utiliza las redes sociales?",varlab
P104K,NA,"104. ¿Y los fines de semana, en qué horarios utiliza las redes sociales?",varlab
P104L,NA,"104. ¿Y los fines de semana, en qué horarios utiliza las redes sociales?",varlab
P104M,NA,"104. ¿Y los fines de semana, en qué horarios utiliza las redes sociales?",varlab
P104N,NA,"104. ¿Y los fines de semana, en qué horarios utiliza las redes sociales?",varlab
P104O,NA,"104. ¿Y los fines de semana, en qué horarios utiliza las redes sociales?",varlab
P104P,NA,"104. ¿Y los fines de semana, en qué horarios utiliza las redes sociales?",varlab
P104Q,NA,"104. ¿Y los fines de semana, en qué horarios utiliza las redes sociales?",varlab
P105,NA,"105. ¿En los últimos 6 meses, apoyó alguna causa social o política a través de las redes sociales?",varlab
P105,1,Si,NA
P105,2,No,NA
